,title,Vegetarian_Friendly,NER
0,Low-Fat Berry Blue Frozen Dessert,True,"['4 cups blueberries, fresh or frozen', '1/4 cup granulated sugar', '1 cup vanilla yogurt, 1% or nonfat', '1 tablespoon lemon juice']"
1,Biryani,False,"['1 tablespoon saffron', '4 teaspoons milk, warm', '2 hot green chili peppers, as serranos -- seeded & stemmed', '2 large onions, chopped', '8 cloves garlic, peeled', '1/4 teaspoon clove, ground', '8 whole peppercorns', '1/2 teaspoon cardamom seed', '1 teaspoon coriander seed', '1 teaspoon cumin seed', '1/4 teaspoon poppy seed', '1/4 teaspoon mace, ground', '1/2 cup cilantro or 1/2 cup mint leaf', '1/4 cup fresh lemon juice', '2 cups plain yogurt', '3 lbs boneless chicken, cut into 1 inch pieces', 'salt', '2 tablespoons vegetable oil', '1 tablespoon ghee', '1 onion, finely chopped', '8 large tomatoes, chopped', '2 cups basmati rice or 2 cups long-grain rice, uncooked', '1/3 cup raisins', '1/3 cup cashews', '1/3 cup almonds', '6 eggs, hard-boiled, halved']"
2,Cabbage Soup,True,"['46 ounces plain tomato juice', '4 cups cabbage, shredded', '1 medium onion, chopped', '2 large carrots, cleaned skinned and shredded', '1 cup celery, finely diced']"
3,Cabbage Soup,False,"['1 head cabbage, chopped', '1 onion, diced', '4 celery ribs, diced', '4 ounces mushrooms, sliced', '2 tablespoons garlic, finely minced', '14 cups water', '10 chicken bouillon cubes', '1 (6 ounce) can tomato paste', 'salt', 'pepper']"
4,Buttermilk Pie With Gingersnap Crumb Crust,False,"['3/4 cup sugar', '1 tablespoon margarine', '1 egg', '2 egg whites', '3 tablespoons flour', '1/4 teaspoon salt', '1 cup buttermilk', '1/2 cup graham cracker crumbs', '1/2 cup gingersnap crumbs', '2 tablespoons margarine']"
5,Cafe Cappuccino,True,"['1/2 cup instant coffee', '3/4 cup sugar', '1 cup nonfat dry milk solid', '1/2 teaspoon orange rind, dried and mashed in a mortar and pestle']"
6,Carrot Cake,True,"['3 cups (700 ml) grated carrots', '4 eggs', '1-1/4 cups (300 ml) vegetable oil', '2 cups (475 ml) white sugar', '2 cups (475 ml) sifted all-purpose flour', '2 tsp (10 ml) baking powder', '2 tsp (10 ml) baking soda', '1 tsp (5 ml) ground cinnamon', '1 tsp (5 ml) salt', '1/2 tsp (2 ml) ground nutmeg', '1 cup (225 ml) golden raisins (optional)', '1-1/4 cups (300 ml) confectioners sugar', '1 (3 ounce) package cream cheese', '1 tbsp (15 ml) light corn syrup', '1/2 tsp (2 ml) vanilla extract']"
7,Buttermilk Pie,True,"['1/2 cup butter or 1/2 cup margarine, melted', '1 1/2 cups sugar', '3 tablespoons flour', '3 eggs, beaten', '1 pinch salt', '1 teaspoon vanilla', '1 cup buttermilk', '1 deep dish pie shell (either your own recipe or storebought)']"
8,Buttermilk Pie,True,"['1 1/3 cups sugar', '3 tablespoons all-purpose flour', '2 eggs, beaten', '1/2 cup butter, melted', '1 cup buttermilk', '2 teaspoons vanilla extract', '1 teaspoon lemon extract', '1 unbaked pastry shell']"
9,Low-Fat Burgundy Beef & Vegetable Stew,False,"['1 1/2 lbs beef eye round', '1 tablespoon vegetable oil', '1 teaspoon dried thyme leaves', '1/2 teaspoon salt', '1/2 teaspoon pepper', '1 (13 3/4 ounce) can ready-to-serve beef broth', '1/2 cup Burgundy wine', '3 cloves large garlic, crushed', '5 1/2 cups baby carrots', '1 cup frozen whole pearl onion', '2 tablespoons cornstarch, dissolved in 2 tablespoons water', '1 (8 ounce) package frozen sugar snap peas']"
10,Alfredo Sauce,True,"['1/4 lb sweet butter (1/2 cup, light butter works fine!)', '1 cup heavy cream or 1 cup light cream', '3/4 cup parmesan cheese, freshly grated', 'salt', '1/4 teaspoon pepper, freshly ground']"
11,Brazilian Empadinhas,False,"['to taste butter', '2 1/2 cups flour', '1/2 teaspoon salt', '1/4 lb margarine', '1 egg yolk', '1 tablespoon milk', '3 tablespoons water', '1 egg yolk (for basting)', '1/2 lb shrimp (small)', '1/2 onion, minced', '3 tomatoes, peeled seeded and chopped', '1 tablespoon parsley, chopped', '1 lemon (juice of)', 'salt', 'pepper', 'Tabasco sauce', '1/2 clove garlic, minced', '2 tablespoons cornstarch', '2 tablespoons olive oil', '1 pinch cumin', '2 tablespoons bell peppers, chopped']"
12,Butter Madeira Cake,True,"['225 g flour', '2 teaspoons baking powder', '175 g caster sugar', '175 g butter, softened', '3 large eggs', '1 tablespoon milk, cold', '1 teaspoon vanilla essence']"
13,Cheeseburger Casserole,False,"['1 1/2 lb. ground beef', '2 Tbsp. flour', '1/4 c. onions, chopped', '1 (8 oz.) can tomato sauce', '1/2 c. catsup', '1/8 tsp. pepper', '1/4 lb. sliced or shredded cheese']"
14,Blueberry Cookies,True,"['2 cups flour', '2 teaspoons baking powder', '1/2 teaspoon salt', '1/2 cup vegetable shortening', '1 cup sugar', '1 large egg', '1/4 cup milk', '1 teaspoon almond extract', '1 1/2 teaspoons lemon zest, grated', '1 cup blueberries']"
15,Caramel Apple Milkshakes,True,"['3 cups frozen yogurt, vanilla', '3/4 cup 1% low-fat milk', '1/2 cup applesauce', '1 teaspoon cinnamon', '1/4 cup caramel topping']"
16,Champagne Punch,False,"['1 (12 ounce) can frozen lemonade concentrate, thawed (small can)', '1 (12 ounce) can frozen orange juice concentrate, thawed (small can)', '1 (12 ounce) can frozen limeade concentrate, thawed (may use 1 small can pineapple juice concentrate, thawed)', '1 (2 liter) bottle ginger ale, chilled', '1 (2 liter) bottle champagne, chilled']"
17,Appetizers-Easy Stuffed Mushrooms,True,"['8 ounces fresh mushrooms (try to use large mushrooms)', '3 tablespoons butter', '1/4 cup celery, chopped', '1/4 cup onion, chopped', '1/4 cup dry breadcrumbs', '1 teaspoon Worcestershire sauce', '1 teaspoon parsley flakes', '1/4 teaspoon salt', '1/8 teaspoon oregano']"
18,Anzac Biscuits,True,"['1 cup rolled oats (oatmeal in USA)', '1 cup plain flour', '1/2 cup sugar', '3/4 cup desiccated coconut', '1 tablespoon golden syrup (can substitute corn syrup, I believe)', '125 g butter (4 oz)', '1/2 teaspoon bicarbonate of soda (baking soda)', '1 tablespoon water, boiling']"
19,Anzac Biscuits,True,"['1 cup quick-cooking rolled oats', '3/4 cup coconut', '1 cup flour', '1 teaspoon bicarbonate of soda', '1 cup sugar', '1/2 cup butter', '1 tablespoon golden syrup', '2 tablespoons boiling water']"
20,Coconut Chicken Bites,False,"['1 lb chicken breast (cut into 2-inch or 3-inch pieces)', '1 cup coconut (flaked or shredded)', '1/2 cup flour', '1/2 teaspoon salt', '1/4 teaspoon black pepper', '1/4 teaspoon garlic powder', '1 egg, lightly beaten', '1/3 cup butter, melted']"
21,Cola Fruit and Date Loaf,True,"['1 (8 ounce) package dates', '1 14 cups cola drink', '1 cup brown sugar, packed firmly', '2 tablespoons oil', '2 cups flour', '1 teaspoon baking soda', '1 teaspoon baking powder', '1 teaspoon cinnamon', '1 teaspoon lemon rind, finely minced', '1 egg', '1 teaspoon vanilla extract (or desired flavor)', '12 cup pecans, chopped']"
22,Coca-Cola Cake,True,"['Cake', '2 cups flour', '2 cups sugar', '1 teaspoon salt', '2 tablespoons cocoa', '1 teaspoon baking soda', '1 cup margarine', '1 cup Coca-Cola', '1/2 cup buttermilk', '1 1/2 cups miniature marshmallows', '2 eggs, beaten', 'Topping', '1/2 cup margarine', '6 tablespoons Coca-Cola', '1 cup chopped nuts', '1 tablespoon cocoa', ""1 box confectioners' sugar"", '1 teaspoon vanilla']"
23,Clam - Lobster Bake,False,"['8 baking potatoes or 8 sweet potatoes', '8 ears corn', '8 onions', '8 chicken halves', '8 live lobsters', '4 -8 dozen clams']"
24,Citrus Glazed Barbecued Pork Loin,False,"['2 ounces canola oil', '1 large onion, chopped', '4 cloves garlic, chopped', '1 chipotle pepper, chopped', '1 arbol chile, steam removed', '1 tablespoon cracked black pepper', '2 tablespoons Worcestershire sauce', '2 cups orange juice', '2 cups of your favorite barbecue sauce', '6 dashes hot sauce', '2 lemons (juice of)', 'kosher salt', '3 lbs pork loin', '4 tablespoons olive oil', '2 tablespoons kosher salt', '2 tablespoons cracked black pepper']"
25,Citrus Chicken,False,"['4 medium chicken breast halves (skinless, boneless, 1 pound)', 'salt and pepper', '1/4 cup lemon juice', '2 tablespoons lime juice', '2 tablespoons orange juice', '1 tablespoon cooking oil', '1 teaspoon sugar', '1/2 teaspoon dried oregano, Crushed']"
26,Christmas Cranberry Salad,True,"['2 cups cranberries, chopped', '3 cups miniature marshmallows', '3/4 cup sugar', '2 cups apples, chopped and unpeeled', '1/2 cup seedless grapes', '1/2 cup walnuts, chopped (I used pecans)', '1/4 teaspoon salt', '1 cup whipping cream, whipped']"
27,Chocolate Zucchini Bread,True,"['3 eggs', '1 c. vegetable oil', '2 c. sugar', '1 Tbsp. vanilla extract', '2 c. shredded peeled zucchini', '2 1/2 c. flour', '1/2 c. baking cocoa', '1 tsp. salt', '1 tsp. baking soda', '1 tsp. cinnamon', '1/4 tsp. baking powder']"
28,Chocolate Zucchini Bread,True,"['3 eggs', '1 c. vegetable oil', '2 c. sugar', '1 Tbsp. vanilla', '2 c. shredded, peeled zucchini', '2 1/2 c. all-purpose flour', '1/2 c. baking cocoa', '1 tsp. salt', '1 tsp. baking soda', '1 tsp. cinnamon', '1/4 tsp. baking powder']"
29,Chocolate Zucchini Bread,True,"['3 eggs', '1 c. vegetable oil', '2 c. sugar', '1 Tbsp. vanilla', '2 c. shredded zucchini', '2 1/2 c. all-purpose flour', '1/2 c. baking cocoa', '1 tsp. salt', '1 tsp. baking soda', '1 tsp. cinnamon', '1/4 tsp. baking powder']"
