,ReviewId,RecipeId,AuthorId,AuthorName,Rating,Review,DateSubmitted,DateModified
10105,13204,23365,35140,BogeysMom,5,"This is really good.  I didn't have any black beans, so I used red beans, and it was still awesome.  I served it with tortilla chips and fresh veggies for dipping.  I also made a second batch and mixed it 1:1 with ranch dressing and used it as a tex-mex salad dressing.  Yummy again.",2002-04-30T16:35:26Z,2002-04-30T16:35:26Z
82343,89626,35889,35701,ciao4293,3,"I was very eager to try these, and was not disappointed with how easy they were to prepare, how fast the dough was ready for shaping, then baking.  But I'm sorry to say the flavor was just not there.  I guess my family is used to more flavorful breads.  Maybe they need more salt, I'm not sure.  They had a good texture, but they didn't go over very well with us.  I'm guessing they would make a good sandwich roll, with other flavors in the mix, but as a dinner roll, I didn't think they had enough flavor to stand on their own.  Sorry.  ",2004-02-19T12:21:12Z,2004-02-19T12:21:12Z
58115,64237,47346,29956,Sueie,5,"This is the way pasta should be - simple, easy and and very tasty. Thnnks for the reminder of less is best. ",2003-08-20T15:09:39Z,2003-08-20T15:09:39Z
86195,93678,81123,95743,sugarpea,4,"I agree, a great way to eat your spinach.  I found the dish lacking a bit of flavor though.  I stirred in some oyster sauce and that seemed to do the trick.",2004-03-16T22:05:04Z,2004-03-16T22:05:04Z
57541,63639,485,87023,Latchy,4,"I used a savoy cabbage in this as I couldn't get kale.  It certainly makes a great mash. Will make it again as I think the kale would make a difference.  When I make it with the cabbage again, as I will make it again I am going to put in some crispy bacon.",2003-08-15T15:54:34Z,2003-08-15T15:54:34Z
97704,105749,86064,143893,val corm,5,"The first time i did this treatment i actually used olive oil, water and a bit of lemon juice and then left it on my hair for about 15 minutes. I then washed my hair with this totally AWESOME new shampoo and conditioner from The Body Shop, it is called ""honey""(and obviously made with it too). My hair was soo silky soft and shiny. It was great, i definitely recommend this treatment.",2004-05-31T23:04:29Z,2004-05-31T23:04:29Z
50926,56528,58020,13483,Tebo3759,5,"I actually made this the day before, refrigerated it then nuked it in the micro before serving and it worked out very well!!  I love making dishes ahead and spending more time drinking and socializing with my friends.  This helped me be able to do just that!!",2003-06-21T11:52:36Z,2003-06-21T11:52:36Z
33652,38419,13166,33254,asil2809,5,"what a great,easy and quick recipe.I'm cooking this now and one by one all the kids have come in to tell me how good dinner smells!!!My only change was to sprinkle with a little paprika for colour.I just sampled one and it was delicious!will make this heaps....thanks Mirj!",2003-01-20T00:26:46Z,2003-01-20T00:26:46Z
13624,16958,18286,38418,Punky Julster ,5,This was sooo good! Even my husband like it.  Thanks for the great recipe.  I will be using this ALOT!,2002-06-20T18:43:35Z,2002-06-20T18:43:35Z
61592,67892,49423,91166,TinaSue,5,this is one of my favorites.  Only thing different I did was add a can of peas to the mix.  Ooooo and I cover it with shredded cheddar cheese instead of velveeta.  I keep one of these in the freezer made up to the cook point all the time so it can just be popped in the over and yummmmmmm,2003-09-17T15:28:40Z,2003-09-17T15:28:40Z
34532,39342,47661,59064,Missy Wombat,5,"I have never cooked anything other than porridge in my microwave. So I was a bit sceptical about this. Especially when I saw no water at all in the recipe. However it is a good recipe that does the job perfectly. It frees up the stove, gets rid of the stirring and gives you a great result. Can't ask for much more than that! ",2003-01-27T01:31:07Z,2003-01-27T01:31:07Z
68159,74778,22481,111760,dachshund,5,Should Be 6 Stars,2003-11-09T18:06:14Z,2003-11-09T18:06:14Z
77186,84237,69525,60989,Bekah,4,"I must agree that this tastes HORRID, but man does it work. I will be using this weekly from now on. Thank you!",2004-01-15T21:04:38Z,2004-01-15T21:04:38Z
38138,43097,54866,2310,Geema,5,"Crunchy, tasty salad. This recipe has floated around for a while, but I love the addition of the nuts and seeds in this variation. I added some minced cilantro to the mix, and I cut down on the oil, using only 1/2 cup and it was more than enough. I'll cut down even more when I make it again...and I certainly will!",2003-02-28T15:59:06Z,2003-02-28T15:59:06Z
22703,26646,40850,52114,jcwords,5,"I was in a tremendous rush tonight, so I printed off this recipe and made it in less than 30 minutes. Everyone (husband, 4 boys, and me) loved it! I substituted sugar snap peas and Niblets corn for the squash- not because we don't like squash but because that is what I had on hand. It was fast, colorful, and delicious. I doubled the recipe and served it with stuffing, but it would also be good with rice.",2002-10-03T16:13:39Z,2002-10-03T16:13:39Z
83325,90669,43898,86141,Whisper,3,"This recipe was interesting. My prep time was about an hour or more. It was very difficult to cut the flesh out of the uncooked squash. The filling was good, but not superb. The presentation was quite nice, though. I'm not sure all the work was worth the end result. JMHO",2004-02-26T16:44:11Z,2004-02-26T16:44:11Z
53984,59760,56660,9580,Richard-NYC,5,AMAZING!  ,2003-07-16T20:32:02Z,2003-07-16T20:32:02Z
40181,45224,50060,76663,KhakiWife,3,"This recipe was okay but I wish I would have seasoned it more...the flavor was kind of bland.
",2003-03-16T23:34:51Z,2003-03-16T23:34:51Z
15349,18838,8650,26278,Aroostook,5,"Wow! What a burst of flavor!!! Loved this recipe.  It is the first time I have ever grown basil and it sure won't be the last.  Great sauce.  Thanks for posting.
Barb",2002-07-11T19:33:40Z,2002-07-11T19:33:40Z
84500,91899,30522,58931,Linorama,5,"Impossible, but true!  They are easy to make and taste fantastic.  I didn't have a whole cup of seasoned bread crumbs so supplemented with plain, used a powdered egg replacer, and added a little black pepper and extra Old Bay to my mix.  I didn't have any trouble forming the patties with floured hands though I did handle them lightly.  They cooked up a gorgeous color and went great with roasted broccoli for dinner.  I made 6 patties but think I will make 8-10 next time to keep the size down and make them more crispy.  Thanks for a new mainstay recipe in our house!",2004-03-05T18:12:31Z,2004-03-05T18:12:31Z
37427,42355,52450,52448,PetsRus,5,"Great tasting casserole, halved the recipe and used three tortilla's. Added more Jalapeno peppers and when I served it drizzled sour cream, mixed with more coriander, on top.",2003-02-23T00:07:28Z,2003-02-23T00:07:28Z
81238,88462,81507,125760,Amy725,5,The recipe was great! I used whipped cream cheese which made it even easier to make.  The taste was YUMMY.   ,2004-02-12T10:34:09Z,2004-02-12T10:34:09Z
38737,43736,44257,75082,Bryon Zammit,4,"Very nice soup. I liked the spicy flavour very much. I used canola oil instead of the butter to lower the fat and cholesterol. The directions could have been a bit more clear such as there are no mention of some of the ingredients listed, but its fairly straight forward recipe and didn't cause any problems.",2003-03-05T11:50:01Z,2003-03-05T11:50:01Z
91360,99111,49106,19683,Margie Brock,5,I very much liked this appetizer as it not only is visually appealing it tastes great.  Easy recipe. Thank you. Margie,2004-04-18T18:35:54Z,2004-04-18T18:35:54Z
43821,49057,59357,6357,Charishma_Ramchanda,5,This is very yummy; I've enjoyed it a few times in the past:),2003-04-15T04:43:52Z,2003-04-15T04:43:52Z
30374,34958,12199,35965,Cindy Lynn,5,"Wow!  This was not only delicious, but easy and quick!  I used fresh cranberries.  DH took a plate of these to the Christmas decorating event at church and came home to report that I'd screwed up...I asked what he meant by this and he told me... ""You didn't send a copy of the recipe.""  It turned out that everyone, literally everyone wanted the recipe.  The next day several of the ladies at church came up and asked me for the recipe.  Now I'll have to get printing... :-)
Thanks for sharing such a hit Bonnie!",2002-12-19T08:52:41Z,2002-12-19T08:52:41Z
20864,24719,32860,45512,tater,5,"I tried making a version of these with soy butter, as I have a nephew who is alergic to wheat, peanuts and eggs - which makes it really hard to bake cookies for him! It worked perfectly- and they taste great. Have to work fast thought - they set up faster and firmer with the soy butter.",2006-12-23T23:49:12Z,2006-12-23T23:49:12Z
55292,61280,38065,95161,Sus3783,5,"I make a breakfast casserole like this using regular bread, but most of those kind of casseroles have to sit in fridge over night.  Really liked this one!!! The stuffing mix made it very tasty!!",2003-07-27T09:13:13Z,2003-07-27T09:13:13Z
24900,29109,29935,10113,southern chef in lo,5,"this was so good,better than good super easy and so moist thankyou",2002-10-25T16:15:07Z,2002-10-25T16:15:07Z
10005,13099,18740,3813,June Holliday,5,"This recipe is as good as Nancy says it is!  I decreased the amount of sugar to 2/3 cup and added 1 cup of coconut for a delicious coconut cream pie. It was not difficult at all to prepare, and it passed the ""Male Taste Test"" with flying colors! I am anxious to make all the varieties of cream pies with this recipe.  Thanks, Nancy!  June Jackson",2002-04-29T19:28:21Z,2002-04-29T19:28:21Z
87483,95038,38137,39733,Sunflower,5,"My husband and I took the kids to my in-laws cabin for the weekend. I put all the ingredients in the crockpot at noon. We went hiking the rest of the day and when we returned, the smell just about knocked us out. The meat was very tender and I cooked for 6 hours. We had plenty of bbq sauce for dipping. Couldn't ask for anything easier or more delicious. Thanks Karen.",2004-03-25T07:20:23Z,2004-03-25T07:20:23Z
42782,47921,20431,81037,neens,5,"i loved this recipe!!
i love anything with spice so this caught my eye right off the bat and they were so easy to make!
i didn't change the recipe at all.you've got to give it a try!",2003-04-06T12:57:30Z,2003-04-06T12:57:30Z
79539,86683,61861,59064,Missy Wombat,4,I'm not a big pineapple fan but this is a very nice way of eating pineapple. My pineapple wasn't that sweet but it still worked out okay. Definitely worth a try!,2004-02-01T03:25:26Z,2004-02-01T03:25:26Z
5768,8496,16603,27385,polly salama,5,this is it!!! my husband has been requesting it for some time now and finally i have it. although the process takes a long time to preserve(not the labor) it is very easy to make. we will have this around the house always and give as gifts this holiday season. thanks mirj!!,2002-02-14T17:06:07Z,2002-02-14T17:06:07Z
46840,52242,23381,52543,CountryLady,5,"I'm with you Miller - I love mashed potatoes on the side with all that good gravy! Since I was cooking for 2, I cut the recipe in half - otherwise I followed the directions exactly. I must admit that I was a little skeptical about the coffee, but the flavour was awesome & the beef was fork tender. My husband said that it was the kind of stew that he would just keep eating as long as I kept putting more on his plate!! Thanx for posting.",2003-05-14T04:11:38Z,2003-05-14T04:11:38Z
61120,67397,56626,91392,Kasha,5,"I just made this for lunch, and I know I will be making it again because my husband told me next time to use sweet potatoes and turnips in the vegetable mix.  I liked it just the way it is written. Easy, cheap meal for two, Cornelia is right!",2003-09-14T06:10:03Z,2003-09-14T06:10:03Z
63655,70045,56452,106771,Rebekah La Bar,5,This is absolutely the best recipe for chile rellanos. I use dark green anchos and roast them over coals to remove the skins. The tomato broth with cinnamon gives them the most delicate flavor. This is the way rellenos should be made!,2003-10-05T08:36:45Z,2003-10-05T08:36:45Z
55983,62001,25514,60020,Natalie Z,5,This bread was over the top delicious. The fresh peaches were lovely and added to the moist texture of the bread. This is so much better than my hard as a brick ole banana bread. The recipe worked perfectly as written. Thanks for sharing it.,2003-08-01T09:15:25Z,2003-08-01T09:15:25Z
87689,95256,37587,60992,Michelle S.,5,This is a great dip. Dh couldn't wait for me to cut the veggies up and started to dip pretzels in it. They were SO good I didn;t even cut up the veggies. Very easy to make and the blend of flavors perfect. I recommend this highly.,2004-03-26T17:04:04Z,2004-03-26T17:04:04Z
84039,91413,27208,129633,K.K.1746,5,"As the vast majority indicates this is a very tasty and very easy recipe - definitely a new family favorite.  Used a 4# chuck cross rib roast. Put veggies on bottom, rubbed roast w/some of the mix,(used full packages of all three mixes -  a perfect combination and not too salty).  Put rest of mix on top, added water and 9 hours later a delicious meal was on the table. After cooking for over 40 years it's hard to come up with something new, yet with the comfort of old fashioned cooking.  Thank you yooper!   ",2004-03-02T20:01:10Z,2004-03-02T20:01:10Z
10047,13146,23320,37016,pyke8142,5,This was so easy and tasted great!  My son and his friends ate it all in no time flat. Thank you for this recipe!,2002-04-29T19:43:02Z,2002-04-29T19:43:02Z
